image_name,method,run_type,blur_score,contrast_score,tiny_object_fraction,num_objects_pred,median_object_area,is_blurry,is_low_contrast,has_many_tiny_objects
0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21.png,watershed,rerun,0.0006756560483455823,0.04949640859872942,0.0,10,306.0,True,True,False
0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426.png,watershed,rerun,0.0005069421838831018,0.11576871638201208,0.0,37,259.0,True,False,False
03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776.png,watershed,rerun,0.0009735526863806748,0.0944571412863601,0.0,8,100.5,True,False,False
0402a81e75262469925ea893b6706183832e85324f7b1e08e634129f5d522cdd.png,watershed,rerun,0.0026498228707642736,0.16385256326758502,0.015151515151515152,66,176.0,True,False,False
07761fa39f60dc37022dbbe8d8694595fd5b77ceb2af2a2724768c8e524d6770.png,watershed,rerun,0.0005008259534410321,0.04924579528447677,0.0,5,123.0,True,True,False
07fb37aafa6626608af90c1e18f6a743f29b6b233d2e427dcd1102df6a916cf5.png,watershed,rerun,0.0007029504479710602,0.1428991964696086,0.006756756756756757,148,260.5,True,False,False
08275a5b1c2dfcd739e8c4888a5ee2d29f83eccfa75185404ced1dc0866ea992.png,watershed,rerun,0.00249768950074285,0.17856858947487148,0.16666666666666666,30,30.0,True,False,False
091944f1d2611c916b98c020bd066667e33f4639159b2a92407fe5a40788856d.png,watershed,rerun,0.002974594838520484,0.14539465434319995,0.2916666666666667,24,24.0,True,False,True
0b0d577159f0d6c266f360f7b8dfde46e16fa665138bf577ec3c6f9c70c0cd1e.png,watershed,rerun,0.0010234764147079717,0.033270740491197784,0.0,5,694.0,True,True,False
0bf33d3db4282d918ec3da7112d0bf0427d4eafe74b3ee0bb419770eefe8d7d6.png,watershed,rerun,0.0009389946025343532,0.12422894422110714,0.0,1,73562.0,True,False,False
0c2550a23b8a0f29a7575de8c61690d3c31bc897dd5ba66caec201d201a278c2.png,watershed,rerun,0.0006566394260419674,0.2862211681247894,0.0,1,56928.0,True,False,False
0d3640c1f1b80f24e94cc9a5f3e1d9e8db7bf6af7d4aba920265f46cadc25e37.png,watershed,rerun,0.0007186677675290364,0.23057691643472938,0.4,5,34.0,True,False,True
0e21d7b3eea8cdbbed60d51d72f4f8c1974c5d76a8a3893a7d5835c85284132e.png,watershed,rerun,0.0007944000389463537,0.12990480967103438,0.0,1,75695.0,True,False,False
0e4c2e2780de7ec4312f0efcd86b07c3738d21df30bb4643659962b4da5505a3.png,watershed,rerun,0.000638857531765846,0.2700872586372786,0.0,3,81.0,True,False,False
0ea221716cf13710214dcd331a61cea48308c3940df1d28cfc7fd817c83714e1.png,watershed,rerun,0.0008079722506749715,0.16429708837309762,0.016129032258064516,124,345.0,True,False,False
136000dc18fa6def2d6c98d4d0b2084d13c22eaffe82e26c665bcaa2a9e51261.png,watershed,rerun,0.0010269681804049205,0.13989736587670923,0.0,1,74702.0,True,False,False
